現在のパス,所有Gitリポジトリ,現在Git追跡,分類案,Git管理方針案,配置・統合先案,処置案,行数,パス表記のある行,内容SHA256,確認の深さ,整理後のパス,実施処置,統合先・保持節,実施前分類,実施後分類,実施後SHA256
docs/environment-separation-sep2-post-restart-verification.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,40,,34dec7acb6937dac85038bc7c71615244fa07bd32406ec6c47f23c610ca9c251,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-sep2-post-restart-verification.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-sep2-post-restart-verification.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,a7b790915c08a9223c37e3e318bafb9cb44368b8ce42846b40e6a7586827a188
docs/environment-separation-sep2-skill-discovery-diagnosis.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,51,,e90b63c1e3e2cf1f48396fd6f9b7c861e7ac99b2f0706f3bf5b81b3fae9011e1,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/environment-separation-sep2-skill-discovery-diagnosis.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/environment-separation-sep2-skill-discovery-diagnosis.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,928dbfe1b693a5a29ad70c558f687751c0a63bc8ff683b028beb4445964564d2
docs/governance/document-language-policy.md,.,追跡済み,正本,Git継続,docs/governance/document-language-policy.md,採用済みの正本として現位置を維持。READMEとAGENTSには日本語レビュー・英語正本の短い指示と参照を置く,27,,7d9f89eb7f87bf96d70af44f25d0d84ba7abc4e876b4ba7e00bbb156aa27b90c,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/governance/document-language-policy.md,維持：所有先と役割が一致。業務契約の再審査・機能変更なし,docs/governance/document-language-policy.md（全文保持、移動時はリンクを調整）,現行文書・案混在,現行文書,7d9f89eb7f87bf96d70af44f25d0d84ba7abc4e876b4ba7e00bbb156aa27b90c
docs/governance/private-source-integration-guide.md,.,追跡済み,共通設計方針,Git継続,docs/governance/private-source-integration-guide.md,共通の正本として維持。独立した複製を作らない,142,,436599830a7d3fa955d1241b1056db9555b83e1f6aa1227d3fc5ad4199700769,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/governance/private-source-integration-guide.md,維持：所有先と役割が一致。業務契約の再審査・機能変更なし,docs/governance/private-source-integration-guide.md（全文保持、移動時はリンクを調整）,現行文書・案混在,現行文書,436599830a7d3fa955d1241b1056db9555b83e1f6aa1227d3fc5ad4199700769
docs/instruction-audit-and-simplification-plan.md,.,追跡済み,過去監査計画と残作業,Gitで要点を保持,docs/migration/v2-plan.md + docs/archive/,現行の必要性を確認した残作業だけ計画へ。AGENTS等の整理方法は今回の合意基準へ揃える。過去の監査指示を再承認・停止条件にしない,183,,110e68747095c9b0df2b40884e1abcbaa75d49c565155b5d13b526dc4962b804,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/instruction-audit-and-simplification-plan.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/instruction-audit-and-simplification-plan.md（全文保持、移動時はリンクを調整）,現行文書・案混在,履歴,f2ff7c57119a2f2fcc053182aa0f2a71a58971798251fd91ad1d471103fdaf1c
docs/instruction-audit-ia0-ia2-checkpoint.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,625,"19,113,167,226,305,350,427,477,555,617",753a5343d46ff078701b1ea5989a8c479dcfa10495f930db3c053f431ac5b2ec,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/instruction-audit-ia0-ia2-checkpoint.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/instruction-audit-ia0-ia2-checkpoint.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,97f6ba60ea55b7590f22a04e8e268a670d00e90b7c8fca6c58b62a9fd4d3a0af
docs/live-agency-domain-knowledge.md,.,追跡済み,業務モデル案,Git継続,docs/domain/model.md,採用済み業務判断を整理。account identityの意味を統合し、履歴は分離,572,,6967edd5eddfe9e103131106a0f98fdb7b8e41e30339e3ee17e0c4d43197ca0b,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/domain/model.md,§2–9・12–13の業務意味・仮定・限界を保持。§4.5は採用済みidentity §1–5で統合、§4.8のサービス実装/測定はBase knowledgeへ。§10の責務はoverview参照、§11の重複一覧は本文に統合,docs/domain/model.md; docs/architecture/overview.md; provider-runtime/providers/lark-base/knowledge/data-model.md,現行文書・案混在,現行文書,d170ffcbb9a8e31b6a7d6e87b9661b7b0d1750abe5998e1a009c8463b549769f
docs/live-agency-mcp-roadmap.md,.,追跡済み,全体設計案,Git継続,docs/architecture/overview.md,採用された責務・依存のみ統合。未採用の再編は履歴へ,624,,0194ea3cb78d8d4b88519f8eded0bf5b9b97d7fc366fe9e95f3ae9289c1fcb99,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/reviews/live-agency-mcp-roadmap.md,§4–10・12.1と既存v2採用判断の責務をoverviewへ要約。§11の旧工程、§12.2の未決事項を含む原案は非正本レビューとして保持,docs/architecture/overview.md; docs/reviews/live-agency-mcp-roadmap.md,レビュー,レビュー,b4ac4558a721a2eb7bcd4422e1eb04b32355bfebf2b1bc777548099432aaf93c
docs/npm-package-architecture-revision.md,.,追跡済み,未採用のレビュー案,Git継続,docs/reviews/,レビュー履歴として保持。8業務分割や永続継続を正本へ自動採用しない,390,"376,377,378,379,380,381,382,383,384,385,386,387,388",d2a5d0c82a1a3d309ccc063e570a464f4efb2732e38540ebc9addd9ee7094bf9,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/reviews/npm-package-architecture-revision.md,未採用の提案・未解決部分をレビューとして保持。整理承認で採用しない,docs/reviews/npm-package-architecture-revision.md（全文保持、移動時はリンクを調整）,レビュー,レビュー,f12008a5b7b6113124bd7d9d156652ff0e905855a0bf5757757f6a46a3f75cd0
docs/npm-runtime-ci-suppressed-source-commit.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,54,15,e03c88672ca0e09353dea22f6d06af9a5ec9f4d18c9972eb079cd2a240205166,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-ci-suppressed-source-commit.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-ci-suppressed-source-commit.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,6a0461ac843becf2cf2b5a5c6a5d62d5e54921c1c55fbc9851ba789384f38995
docs/npm-runtime-committed-artifact-reproduction.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,149,"23,27,41,46",8e7dd2d06cab899e1ab44a738d88e6fea28d7bcb14bce69dd99a2a8abe1f20cf,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-committed-artifact-reproduction.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-committed-artifact-reproduction.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,d6ef3f848e0c68597808c59d65b73dadd54b314f9656465adcb63a66ce57f965
docs/npm-runtime-distribution-decision.md,.,追跡済み,配布方針とRuntime設計の混在,Git継続,docs/architecture/distribution.md + provider-runtime/docs/deployment.md,scope・所有・公開範囲は全体方針。起動・lockfile・切替仕様はRuntimeへ分離,46,,df946958f01bfbff2fc3e548b48a5bb32e4990c5c255f93cdda25e1a4a7b9ebd,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/architecture/distribution.md,採用済みの規則・モデルを正本へ。重複、工程、検証履歴を分離,docs/architecture/distribution.md（全文保持、移動時はリンクを調整）,現行文書・案混在,現行文書,38030dff3f94330c1ba417c7904179d4ffd18524a969f7c1ac819600aaa26f68
docs/npm-runtime-formal-distribution-contract.md,.,追跡済み,契約・実装brief・進捗の混在,Gitで仕様と要点を保持,docs/architecture/distribution.md + provider-runtime/docs/ + 所有する共通ライブラリー,契約を所有者へ分割。特定タスクの手順・版・hashは履歴へ。文書丸ごとの機械移動をしない,638,,e052bb747a28ba4fb82122cefff5d4d44efe320191c9284e6fd6921b62991f10,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,provider-runtime/docs/reviews/formal-distribution-contract.md,manifest/payload/配布案全文をRuntimeレビューへ。採用済みscope/registry/actorは親正本が所有。提案の採用はしない,provider-runtime/docs/reviews/formal-distribution-contract.md; docs/architecture/distribution.md,現行文書・案混在,レビュー,d294e8b3e9a51104b5aa865bedabaedc5fc0476273e0abeb1078ea12c1c07a85
docs/npm-runtime-formal-distribution-implementation-checkpoint.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,206,"101,133,179",c30fdf8338f6b9ae8de5771836a796c9516d55b6095ce30b7f4de6508c538d29,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-formal-distribution-implementation-checkpoint.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-formal-distribution-implementation-checkpoint.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,8d88bdfde6f59a911497eec8f7c367829a98bfcbc3354990c4e54dbdc2744676
docs/npm-runtime-initial-push-ci-suppression.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,100,27,3a2f6223a52bfb8ae215989783d4ef036120d60ca3c4e1f850a3667e671660d0,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-initial-push-ci-suppression.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-initial-push-ci-suppression.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,ec1d32f52298f961c35e4dca518f191169b114d1beb39a999721f9ae7075db95
docs/npm-runtime-lifecycle-design.md,.,追跡済み,配布方針とRuntime設計の混在,Git継続,docs/architecture/distribution.md + provider-runtime/docs/deployment.md,scope・所有・公開範囲は全体方針。起動・lockfile・切替仕様はRuntimeへ分離,329,,97981c68ee606be55fc539812386068280c7ae9830fe398331ba768e7c5721ac,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,provider-runtime/docs/deployment.md,§3–11・14の配備設計はRuntime、scope/発行主体/公開範囲はdistribution。§2・12・13・15・16の工程・検証はarchive。未実装CLIは提案と明示,provider-runtime/docs/deployment.md; docs/architecture/distribution.md; docs/archive/npm-runtime-lifecycle-design.md,現行文書・案混在,現行文書,662c9aa790c5e1afb68d06df0e28ca43a54c6e303750284c5ccddb672723454f
docs/npm-runtime-offline-install-checkpoint.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,226,"42,62,80,124,125",4f65bf0ac331a9e8721ea5bc4c4019cd6e5d5ae4a9925ebbb1837f777f3ea2a1,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-offline-install-checkpoint.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-offline-install-checkpoint.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,b1707c594ab6be5d5fa43fdeee58bc34ebbe2c4f289130f932a33992f091bf66
docs/npm-runtime-private-qualification-source-selection.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,80,"25,45",b521408f4788213f6e10e9b3d0a4368699205e68190ec9605f503252a541e90d,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-private-qualification-source-selection.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-private-qualification-source-selection.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,96b5a4f5b72de092c4ff8742253c0ee9e8371ae015276f3ce00647ebf84146bd
docs/npm-runtime-release-readiness.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,201,"39,54",2ed395fc207219bd1815288d9e80901578622afe77817298cf30f3b575f58104,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-release-readiness.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-release-readiness.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,7a40d82e0ab63ce8afc82326c8ad3e2b7f07a539a30d86facbd874175bcd68bc
docs/npm-runtime-release-source-commit.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,68,"13,33,34,35,36,37,38,39,40",b5a359f28019aa979d2909aedbd4183b4ce2f5fe049aba295822569194f88429,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-release-source-commit.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-release-source-commit.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,a10ed9084b8e1e0d5a9d9119bbb6a5e94c49265ced7b0e30026136bcaf6dbce4
docs/npm-runtime-release-source-selection.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,82,"9,13,14,15,30",cb1c9df134e5fe5fd5dad9e2227b662735e8ad76e9a3e692a31c3d5658be7363,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-release-source-selection.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-release-source-selection.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,9c3a93f6503339423388945f913543273b64e1aaea209a45fafcb327c6df0a3a
docs/npm-runtime-rls0-checkpoint.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,366,229,617dc35ca4609d1dba7d03503e45613debdeb20ae707ec40a6354aba76f6c369,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-rls0-checkpoint.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-rls0-checkpoint.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,4c566cdf59045efa3aa328a51c76388a76ddb78d6190df75afc71e0f941cba56
docs/npm-runtime-rls1-contract.md,.,追跡済み,契約・実装brief・進捗の混在,Gitで仕様と要点を保持,docs/architecture/distribution.md + provider-runtime/docs/ + 所有する共通ライブラリー,契約を所有者へ分割。特定タスクの手順・版・hashは履歴へ。文書丸ごとの機械移動をしない,610,"125,380,552,558,560,562,587",ed7bf7c2d40d1d9a54684509a3967817abec95bbadf442c3afbe3fb6f9aa5808,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,provider-runtime/skills/live-agency-skills/packages/source-provider-api/docs/instruction-resolution.md,§3–7 API/型/拒否条件は共通API、§2・8の結線/試験はRuntime、§1・9–11のbrief/測定はarchive。端末のfixture実値を共有APIから除外,provider-runtime/skills/live-agency-skills/packages/source-provider-api/docs/instruction-resolution.md; provider-runtime/docs/instruction-resolution.md; docs/archive/npm-runtime-rls1-contract.md,現行文書・案混在,現行文書,3cfceb1c4570791e7110eade670b0a10be3fd7cce8a166c07b7a5e9a0acfdf9e
docs/npm-runtime-rls2-artifact-checkpoint.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,192,"41,51,59",9d37874541218cdf69dbb1b3cb6626c2f971a86aa9750a3572ffeb49d6006f88,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-rls2-artifact-checkpoint.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-rls2-artifact-checkpoint.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,bb883f8315719dab0fca9912bd456c1449c5c8909010647fa666d0a7971c3da1
docs/npm-runtime-source-publication-eligibility.md,.,追跡済み,過去の調査・実装・保全記録,Gitは判断と検証要約、作業実体は対象外,docs/archive/（全体記録）または所有repoのdocs/archive/,記録を現在の手順から外す。承認済み判断・再現に必要な要約を残し、生ログや一時出力はlocal archiveへ。内容選別後に配置確定,105,13,8eebee1590ee49b270395361bb4d20afa146920385d3425f3036c6204f3262b4,全文機械照合、表題・状態・責務の確認。主要な重複群は本文比較,docs/archive/npm-runtime-source-publication-eligibility.md,当時の工程・判断・検証を履歴化。現在の順序はmigration/v2-plan.md、状態はmigration/status.md,docs/archive/npm-runtime-source-publication-eligibility.md（全文保持、移動時はリンクを調整）,履歴・進捗混在,履歴,00cfc14fa499f6e819a6928db01229a3455685629222afd191d2fc1da8b46467
